iter	Passed	Remaining
0	19	9947
1	38	9641
2	57	9538
3	80	10012
4	114	11315
5	135	11171
6	156	11050
7	188	11576
8	209	11408
9	230	11306
10	254	11319
11	276	11228
12	286	10741
13	297	10317
14	317	10280
15	339	10256
16	360	10231
17	381	10218
18	402	10194
19	423	10172
20	445	10154
21	466	10130
22	487	10101
23	518	10274
24	539	10246
25	560	10214
26	581	10189
27	603	10171
28	624	10149
29	645	10115
30	666	10086
31	687	10057
32	709	10040
33	732	10038
34	755	10035
35	787	10149
36	806	10089
37	829	10085
38	858	10142
39	865	9958
40	888	9945
41	909	9918
42	931	9895
43	952	9875
44	974	9856
45	997	9847
46	1024	9876
47	1045	9848
48	1056	9722
49	1078	9704
50	1100	9686
51	1122	9672
52	1145	9663
53	1168	9647
54	1190	9629
55	1212	9613
56	1234	9592
57	1256	9574
58	1277	9548
59	1307	9591
60	1329	9566
61	1352	9555
62	1374	9531
63	1395	9509
64	1414	9466
65	1435	9440
66	1456	9413
67	1477	9385
68	1498	9361
69	1512	9291
70	1533	9266
71	1559	9271
72	1592	9312
73	1613	9286
74	1634	9261
75	1655	9237
76	1673	9193
77	1694	9167
78	1715	9143
79	1736	9115
80	1757	9089
81	1777	9063
82	1799	9040
83	1821	9022
84	1840	8986
85	1862	8967
86	1885	8951
87	1921	8997
88	1943	8973
89	1964	8948
90	1985	8921
91	2006	8896
92	2026	8870
93	2047	8843
94	2061	8787
95	2082	8762
96	2103	8739
97	2125	8718
98	2132	8639
99	2153	8614
100	2185	8635
101	2197	8572
102	2218	8552
103	2240	8529
104	2258	8497
105	2283	8486
106	2305	8469
107	2338	8486
108	2360	8466
109	2382	8448
110	2405	8431
111	2430	8418
112	2451	8396
113	2473	8375
114	2502	8377
115	2523	8355
116	2548	8342
117	2562	8295
118	2583	8271
119	2590	8203
120	2611	8179
121	2633	8158
122	2654	8135
123	2675	8111
124	2696	8088
125	2717	8064
126	2737	8041
127	2758	8017
128	2779	7993
129	2800	7970
130	2822	7949
131	2844	7930
132	2865	7907
133	2887	7887
134	2920	7897
135	2942	7874
136	2963	7852
137	2985	7831
138	3008	7812
139	3031	7794
140	3053	7774
141	3075	7752
142	3098	7734
143	3141	7765
144	3163	7745
145	3185	7722
146	3233	7764
147	3254	7740
148	3275	7715
149	3296	7691
150	3317	7666
151	3338	7642
152	3359	7620
153	3382	7600
154	3405	7580
155	3442	7590
156	3463	7567
157	3484	7543
158	3506	7519
159	3527	7495
160	3548	7470
161	3569	7446
162	3591	7425
163	3612	7401
164	3635	7381
165	3666	7376
166	3687	7352
167	3708	7327
168	3729	7303
169	3750	7279
170	3770	7255
171	3791	7230
172	3812	7206
173	3833	7182
174	3854	7158
175	3875	7134
176	3896	7111
177	3917	7087
178	3938	7063
179	3959	7039
180	3980	7015
181	4001	6991
182	4022	6967
183	4042	6943
184	4063	6919
185	4085	6896
186	4106	6873
187	4128	6851
188	4150	6829
189	4171	6806
190	4193	6784
191	4214	6760
192	4236	6738
193	4257	6714
194	4277	6690
195	4298	6667
196	4319	6644
197	4340	6620
198	4361	6596
199	4383	6574
200	4405	6553
201	4432	6539
202	4462	6528
203	4485	6508
204	4508	6488
205	4530	6466
206	4552	6444
207	4573	6420
208	4594	6397
209	4615	6374
210	4640	6355
211	4661	6332
212	4682	6309
213	4703	6286
214	4725	6263
215	4746	6240
216	4767	6217
217	4788	6194
218	4809	6171
219	4831	6148
220	4852	6125
221	4872	6102
222	4895	6080
223	4917	6059
224	4938	6035
225	4958	6012
226	4979	5989
227	5000	5965
228	5021	5942
229	5043	5920
230	5064	5897
231	5085	5874
232	5106	5851
233	5127	5828
234	5148	5805
235	5170	5783
236	5191	5760
237	5212	5737
238	5248	5732
239	5269	5708
240	5290	5685
241	5311	5662
242	5332	5639
243	5353	5616
244	5374	5593
245	5394	5570
246	5417	5549
247	5438	5526
248	5459	5503
249	5480	5480
250	5502	5458
251	5523	5435
252	5543	5412
253	5565	5390
254	5586	5367
255	5608	5345
256	5629	5323
257	5651	5301
258	5674	5279
259	5695	5257
260	5716	5234
261	5737	5212
262	5758	5189
263	5779	5166
264	5800	5144
265	5821	5121
266	5842	5098
267	5863	5075
268	5885	5053
269	5907	5032
270	5928	5009
271	5949	4987
272	5970	4964
273	5991	4941
274	6017	4923
275	6039	4901
276	6062	4880
277	6085	4859
278	6107	4837
279	6130	4816
280	6150	4793
281	6172	4771
282	6193	4749
283	6214	4726
284	6235	4704
285	6256	4681
286	6277	4658
287	6298	4636
288	6319	4613
289	6340	4591
290	6361	4568
291	6382	4546
292	6402	4523
293	6423	4501
294	6445	4479
295	6466	4456
296	6487	4434
297	6508	4411
298	6529	4389
299	6551	4367
300	6572	4345
301	6592	4322
302	6615	4301
303	6638	4279
304	6660	4258
305	6697	4246
306	6719	4224
307	6741	4202
308	6763	4180
309	6785	4159
310	6809	4138
311	6832	4117
312	6854	4095
313	6875	4072
314	6896	4050
315	6918	4028
316	6939	4006
317	6960	3983
318	6992	3967
319	7014	3945
320	7036	3923
321	7059	3902
322	7080	3880
323	7104	3858
324	7125	3836
325	7147	3815
326	7169	3792
327	7190	3770
328	7212	3748
329	7233	3726
330	7254	3703
331	7275	3681
332	7296	3659
333	7320	3638
334	7352	3621
335	7373	3599
336	7396	3577
337	7417	3555
338	7438	3532
339	7460	3510
340	7481	3488
341	7502	3466
342	7523	3443
343	7544	3421
344	7565	3398
345	7587	3377
346	7610	3355
347	7632	3333
348	7668	3317
349	7690	3295
350	7723	3278
351	7744	3256
352	7765	3233
353	7786	3211
354	7806	3188
355	7827	3166
356	7849	3144
357	7869	3121
358	7890	3099
359	7911	3076
360	7932	3054
361	7953	3031
362	7974	3009
363	7995	2987
364	8016	2964
365	8040	2943
366	8065	2922
367	8086	2900
368	8107	2878
369	8152	2864
370	8173	2842
371	8194	2819
372	8216	2797
373	8237	2775
374	8257	2752
375	8279	2730
376	8299	2707
377	8320	2685
378	8340	2662
379	8368	2642
380	8390	2620
381	8413	2599
382	8437	2577
383	8460	2555
384	8483	2534
385	8520	2516
386	8551	2496
387	8591	2479
388	8615	2458
389	8637	2436
390	8660	2414
391	8683	2392
392	8710	2371
393	8733	2349
394	8756	2327
395	8788	2308
396	8811	2286
397	8834	2264
398	8856	2241
399	8892	2223
400	8914	2200
401	8935	2178
402	8967	2158
403	8988	2135
404	9010	2113
405	9032	2091
406	9054	2068
407	9077	2046
408	9100	2024
409	9126	2003
410	9151	1981
411	9172	1959
412	9194	1936
413	9215	1914
414	9243	1893
415	9263	1870
416	9284	1848
417	9306	1825
418	9328	1803
419	9349	1780
420	9371	1758
421	9393	1736
422	9414	1713
423	9440	1692
424	9475	1672
425	9514	1652
426	9538	1630
427	9574	1610
428	9611	1590
429	9633	1568
430	9655	1545
431	9675	1523
432	9696	1500
433	9717	1477
434	9739	1455
435	9760	1432
436	9781	1410
437	9817	1389
438	9839	1367
439	9861	1344
440	9884	1322
441	9907	1300
442	9930	1277
443	9964	1256
444	9998	1235
445	10029	1214
446	10050	1191
447	10086	1170
448	10108	1148
449	10143	1127
450	10166	1104
451	10192	1082
452	10222	1060
453	10243	1037
454	10265	1015
455	10287	992
456	10308	969
457	10334	947
458	10355	925
459	10376	902
460	10398	879
461	10420	857
462	10442	834
463	10464	811
464	10490	789
465	10511	766
466	10547	745
467	10571	722
468	10594	700
469	10615	677
470	10637	654
471	10659	632
472	10682	609
473	10705	587
474	10728	564
475	10751	542
476	10774	519
477	10795	496
478	10816	474
479	10837	451
480	10858	428
481	10878	406
482	10900	383
483	10922	361
484	10945	338
485	10967	315
486	10987	293
487	11012	270
488	11037	248
489	11059	225
490	11080	203
491	11101	180
492	11122	157
493	11143	135
494	11177	112
495	11199	90
496	11220	67
497	11240	45
498	11262	22
499	11283	0
